,level,position,salaries
1635,Senior,Seo Specialist,12.000
1636,Senior,Full Stack Developer,19.000
1638,Senior,Full Stack Developer,25.000
1639,Junior,Full Stack Developer,11.000
1640,Junior,Mobile Application Developer,7.000
1641,Senior,CTO,30.000
1642,Middle,Back-end Developer,22.000
1643,Junior,Front-end Developer,5.000
1644,Junior,Full Stack Developer,8.000
1645,Middle,Front-end Developer,12.000
1646,Middle,Full Stack Developer,10.000
1647,Senior,Full Stack Developer,25.000
1648,Junior,Mobile Application Developer,12.000
1649,Senior,Software Architect,15.000
1650,Junior,Back-end Developer,18.000
1651,Senior,Full Stack Developer,23.000
1652,Senior,Database Administrator,18.000
1653,Middle,Machine Learning,14.000
1654,Junior,Full Stack Developer,9.000
1655,Junior,Back-end Developer,5.000
1656,Senior,Back-end Developer,19.000
1657,Junior,Game Developer,13.000
1658,Junior,RPA Developer,6.000
1659,Junior,Back-end Developer,17.000
1660,Middle,Full Stack Developer,10.000
1661,Junior,Front-end Developer,5.000
1662,Junior,QA / Test Automation Developer,8.000
1663,Middle,Full Stack Developer,5.000
1664,Junior,Front-end Developer,7.000
1666,Senior,CTO,40.000
1668,Senior,Team / Tech Lead,18.000
1669,Senior,Back-end Developer,24.000
1671,Junior,Back-end Developer,5.000
1672,Middle,Front-end Developer,19.000
1674,Middle,Back-end Developer,13.000
1675,Senior,Back-end Developer,35.000
1676,Senior,Software Architect,26.000
1677,Junior,Mobile Application Developer,6.000
1678,Junior,Back-end Developer,5.000
1679,Middle,Back-end Developer,14.000
1681,Senior,Mobile Application Developer,20.000
1682,Senior,Full Stack Developer,13.000
1683,Junior,Back-end Developer,10.000
1684,Middle,Mobile Application Developer,10.000
1685,Senior,Data Scientist,22.000
1686,Middle,QA / Test Automation Developer,21.000
1687,Junior,Full Stack Developer,5.000
1688,Senior,Front-end Developer,21.000
1689,Senior,Back-end Developer,16.000
1690,Middle,Mobile Application Developer,17.000
1691,Senior,CTO,45.000
1692,Middle,Full Stack Developer,17.000
1693,Junior,Back-end Developer,5.000
1694,Middle,Full Stack Developer,9.000
1695,Middle,Full Stack Developer,23.000
1696,Junior,Front-end Developer,7.000
1697,Middle,Full Stack Developer,13.000
1698,Senior,Security,20.000
1699,Junior,Full Stack Developer,8.000
1700,Middle,Back-end Developer,16.000
1701,Junior,Front-end Developer,5.000
1702,Senior,Full Stack Developer,22.000
1703,Middle,Mobile Application Developer,14.000
1704,Middle,Front-end Developer,10.000
1705,Junior,Mobile Application Developer,5.000
1706,Senior,Team / Tech Lead,30.000
1707,Middle,Full Stack Developer,13.000
1708,Senior,Front-end Developer,23.000
1709,Senior,Back-end Developer,23.000
1710,Middle,Mobile Application Developer,19.000
1711,Senior,Full Stack Developer,20.000
1712,Senior,Back-end Developer,19.000
1713,Senior,Full Stack Developer,25.000
1714,Junior,DevOps Engineer,7.000
1715,Middle,Back-end Developer,8.000
1716,Middle,Full Stack Developer,20.000
1717,Senior,Full Stack Developer,12.000
1718,Senior,Back-end Developer,16.000
1720,Senior,Full Stack Developer,20.000
1721,Junior,Front-end Developer,7.000
1722,Junior,Front-end Developer,5.000
1724,Senior,Back-end Developer,21.000
1725,Junior,Data Scientist,8.000
1726,Junior,Mobile Application Developer,6.000
1727,Middle,Back-end Developer,11.000
1729,Junior,Back-end Developer,8.000
1730,Senior,Full Stack Developer,15.000
1731,Junior,Back-end Developer,9.000
1733,Junior,Full Stack Developer,7.000
1734,Middle,Embedded Software Developer,7.000
1735,Senior,Full Stack Developer,12.000
1737,Senior,Back-end Developer,22.000
1738,Middle,Back-end Developer,13.000
1739,Senior,Full Stack Developer,17.000
1740,Junior,Full Stack Developer,14.000
1741,Junior,Full Stack Developer,7.000
1742,Senior,Software Development Manager,18.000
1743,Middle,Full Stack Developer,12.000
1744,Junior,DevOps Engineer,11.000
1745,Middle,Full Stack Developer,13.000
1746,Junior,Back-end Developer,10.000
1747,Junior,Embedded Software Developer,6.000
1748,Junior,DevOps Engineer,14.000
1749,Middle,Full Stack Developer,12.000
1750,Junior,Full Stack Developer,5.000
1751,Junior,Embedded Software Developer,15.000
1752,Senior,Team / Tech Lead,32.000
1754,Junior,Full Stack Developer,5.000
1755,Senior,Embedded Software Developer,11.000
1756,Junior,Front-end Developer,5.000
1757,Junior,Back-end Developer,5.000
1758,Middle,Full Stack Developer,5.000
1759,Junior,Full Stack Developer,5.000
1760,Middle,Embedded Software Developer,12.000
1762,Middle,Mobile Application Developer,10.000
1763,Junior,Back-end Developer,6.000
1764,Senior,Mobile Application Developer,16.000
1765,Middle,Back-end Developer,8.000
1766,Middle,Game Developer,10.000
1767,Junior,Mobile Application Developer,10.000
1768,Junior,Front-end Developer,6.000
1769,Middle,Back-end Developer,20.000
1770,Junior,Mobile Application Developer,15.000
1771,Senior,Back-end Developer,22.000
1772,Senior,Back-end Developer,20.000
1773,Senior,Front-end Developer,19.000
1774,Middle,Back-end Developer,14.000
1776,Middle,Full Stack Developer,15.000
1777,Middle,Back-end Developer,15.000
1778,Middle,QA / Test Automation Developer,8.000
1781,Middle,Full Stack Developer,5.000
1782,Junior,Back-end Developer,9.000
1783,Senior,DevOps Engineer,24.000
1785,Senior,Full Stack Developer,17.000
1786,Middle,Full Stack Developer,10.000
1787,Junior,Full Stack Developer,11.000
1788,Senior,Full Stack Developer,16.000
1789,Senior,Back-end Developer,24.000
1790,Junior,Front-end Developer,8.000
1791,Junior,Back-end Developer,16.000
1792,Senior,Front-end Developer,21.000
1793,Junior,Back-end Developer,5.000
1794,Middle,Full Stack Developer,17.000
1795,Junior,Back-end Developer,8.000
1796,Middle,Mobile Application Developer,14.000
1797,Junior,DevOps Engineer,5.000
1799,Senior,Full Stack Developer,11.000
1800,Middle,Embedded Software Developer,13.000
1801,Senior,Full Stack Developer,30.000
1802,Middle,DevOps Engineer,10.000
1803,Middle,Front-end Developer,8.000
1804,Middle,Full Stack Developer,12.000
1805,Senior,Software Development Manager,29.000
1806,Middle,Full Stack Developer,9.000
1807,Senior,Software Development Manager,28.000
1809,Middle,Back-end Developer,15.000
1811,Middle,Full Stack Developer,14.000
1813,Senior,Back-end Developer,17.000
1814,Senior,Software Development Manager,40.000
1815,Senior,Front-end Developer,25.000
1816,Junior,Full Stack Developer,14.000
1817,Senior,Team / Tech Lead,30.000
1818,Middle,Full Stack Developer,13.000
1820,Senior,Software Development Manager,30.000
1821,Middle,Back-end Developer,12.000
1822,Senior,Front-end Developer,25.000
1823,Junior,Front-end Developer,6.000
1824,Junior,Front-end Developer,7.000
1825,Senior,Front-end Developer,27.000
1826,Junior,Embedded Software Developer,10.000
1827,Junior,Back-end Developer,6.000
1828,Junior,Full Stack Developer,8.000
1829,Middle,Data Scientist,7.000
1830,Senior,Software Development Manager,20.000
1831,Middle,Full Stack Developer,15.000
1833,Senior,Embedded Software Developer,38.000
1834,Junior,Full Stack Developer,6.000
1835,Senior,Full Stack Developer,17.000
1836,Junior,Back-end Developer,5.000
1840,Senior,Team / Tech Lead,39.000
1841,Junior,Full Stack Developer,10.000
1842,Senior,Back-end Developer,23.000
1843,Senior,DevOps Engineer,24.000
1844,Junior,Front-end Developer,5.000
1845,Senior,Embedded Software Developer,23.000
1846,Junior,Front-end Developer,7.000
1847,Middle,Full Stack Developer,14.000
1848,Junior,Full Stack Developer,15.000
1849,Senior,Full Stack Developer,24.000
1850,Junior,Front-end Developer,5.000
1851,Junior,Front-end Developer,5.000
1852,Junior,QA / Test Automation Developer,11.000
1853,Junior,Back-end Developer,5.000
1854,Middle,Full Stack Developer,10.000
1855,Middle,Full Stack Developer,15.000
1856,Senior,Mobile Application Developer,23.000
1857,Senior,Embedded Software Developer,11.000
1859,Senior,Data Scientist,26.000
1860,Middle,Front-end Developer,18.000
1861,Junior,Mobile Application Developer,8.000
1862,Senior,Software Development Manager,30.000
1863,Middle,Front-end Developer,9.000
1864,Junior,Full Stack Developer,10.000
1866,Senior,Full Stack Developer,17.000
1867,Middle,Full Stack Developer,15.000
1868,Senior,Software Development Manager,37.000
1870,Junior,DevOps Engineer,5.000
1871,Middle,Back-end Developer,7.000
1874,Senior,Full Stack Developer,18.000
1875,Junior,QA / Test Automation Developer,5.000
1876,Middle,Back-end Developer,10.000
1877,Junior,Mobile Application Developer,5.000
1878,Junior,Mobile Application Developer,6.000
1879,Senior,Software Architect,34.000
1880,Senior,Team / Tech Lead,20.000
1881,Senior,Full Stack Developer,17.000
1882,Senior,Full Stack Developer,30.000
1884,Middle,Front-end Developer,6.000
1885,Middle,Mobile Application Developer,8.000
1886,Senior,Software Development Manager,50.000
1887,Junior,Back-end Developer,13.000
1888,Senior,Team / Tech Lead,12.000
1889,Senior,Software Development Manager,31.000
1890,Senior,Back-end Developer,15.000
1891,Middle,Back-end Developer,19.000
1892,Senior,Software Development Manager,45.000
1893,Middle,Full Stack Developer,19.000
1894,Senior,SysAdmin,24.000
1895,Middle,Front-end Developer,12.000
1896,Junior,Front-end Developer,10.000
1897,Junior,Full Stack Developer,8.000
1898,Senior,Mobile Application Developer,27.000
1899,Middle,Full Stack Developer,12.000
1900,Junior,Front-end Developer,7.000
1901,Junior,Full Stack Developer,12.000
1903,Senior,Full Stack Developer,30.000
1904,Middle,Data Scientist,15.000
1905,Middle,Back-end Developer,13.000
1906,Middle,SAP/ABAP/ERP Developer,10.000
1907,Senior,Back-end Developer,14.000
1908,Senior,Project & Product Manager / PO,32.000
1909,Senior,Full Stack Developer,18.000
1910,Junior,Team / Tech Lead,9.000
1911,Middle,Full Stack Developer,18.000
1912,Junior,Back-end Developer,9.000
1913,Senior,Back-end Developer,12.000
1914,Senior,Team / Tech Lead,11.000
1915,Senior,Full Stack Developer,13.000
1916,Junior,Full Stack Developer,6.000
1917,Middle,Full Stack Developer,13.000
1918,Senior,Back-end Developer,14.000
1919,Senior,Full Stack Developer,19.000
1920,Junior,Data Engineer,15.000
1921,Junior,Software Architect,6.000
1922,Middle,Back-end Developer,32.000
1923,Senior,Full Stack Developer,23.000
1924,Middle,Full Stack Developer,8.000
1925,Senior,Software Architect,34.000
1926,Junior,Front-end Developer,9.000
1927,Senior,Back-end Developer,29.000
1929,Senior,Full Stack Developer,22.000
1930,Middle,Full Stack Developer,12.000
1931,Senior,Back-end Developer,22.000
1932,Middle,Embedded Software Developer,15.000
1933,Senior,Software Development Manager,34.000
1934,Senior,Team / Tech Lead,16.000
1935,Junior,Mobile Application Developer,5.000
1936,Middle,QA / Test Automation Developer,15.000
1937,Senior,Back-end Developer,21.000
1938,Middle,Data Scientist,15.000
1939,Senior,Mobile Application Developer,37.000
1940,Senior,Team / Tech Lead,23.000
1941,Junior,Data Scientist,8.000
1942,Senior,Data Scientist,14.000
1943,Junior,Full Stack Developer,7.000
1944,Middle,Embedded Software Developer,9.000
1945,Senior,Software Development Manager,11.000
1946,Senior,Software Development Manager,35.000
1947,Middle,Mobile Application Developer,13.000
1948,Senior,Full Stack Developer,30.000
1949,Senior,Team / Tech Lead,27.000
1950,Senior,Data Scientist,12.000
1951,Middle,Back-end Developer,14.000
1952,Junior,Front-end Developer,7.000
1954,Junior,Full Stack Developer,9.000
1955,Junior,Front-end Developer,9.000
1956,Middle,Back-end Developer,10.000
1957,Senior,Software Development Manager,22.000
1958,Senior,Full Stack Developer,36.000
1959,Middle,Back-end Developer,17.000
1960,Senior,Full Stack Developer,19.000
1961,Senior,Front-end Developer,20.000
1962,Middle,Back-end Developer,18.000
1963,Junior,Back-end Developer,6.000
1964,Junior,Front-end Developer,11.000
1965,Junior,Back-end Developer,14.000
1967,Middle,Data Scientist,12.000
1968,Senior,DevOps Engineer,18.000
1969,Junior,Full Stack Developer,9.000
1970,Middle,DevOps Engineer,32.000
1971,Middle,Mobile Application Developer,10.000
1972,Senior,Full Stack Developer,24.000
1973,Middle,Back-end Developer,15.000
1974,Middle,Back-end Developer,13.000
1975,Middle,Full Stack Developer,15.000
1976,Senior,Team / Tech Lead,22.000
1977,Senior,Mobile Application Developer,45.000
1978,Senior,Back-end Developer,22.000
1979,Junior,Full Stack Developer,12.000
1980,Junior,Full Stack Developer,11.000
1982,Senior,Full Stack Developer,35.000
1983,Junior,Back-end Developer,9.000
1984,Middle,Mobile Application Developer,13.000
1985,Junior,DevOps Engineer,6.000
1986,Junior,QA / Test Automation Developer,5.000
1987,Middle,Back-end Developer,29.000
1988,Junior,Front-end Developer,15.000
1989,Middle,Full Stack Developer,10.000
1990,Middle,Mobile Application Developer,6.000
1991,Junior,Full Stack Developer,9.000
1992,Middle,Data Scientist,18.000
1993,Middle,Back-end Developer,9.000
1994,Senior,Data Scientist,36.000
1995,Junior,Support Engineer,11.000
1996,Junior,Front-end Developer,5.000
1999,Senior,Full Stack Developer,17.000
2001,Senior,Front-end Developer,25.000
2002,Senior,Back-end Developer,19.000
2003,Junior,Full Stack Developer,5.000
2004,Junior,Back-end Developer,9.000
2005,Middle,Back-end Developer,19.000
2006,Senior,Front-end Developer,50.000
2007,Senior,Full Stack Developer,14.000
2008,Senior,Full Stack Developer,13.000
2010,Middle,Back-end Developer,10.000
2011,Senior,Full Stack Developer,50.000
2012,Middle,Machine Learning,12.000
2013,Middle,Mobile Application Developer,17.000
2014,Middle,Full Stack Developer,13.000
2015,Middle,Back-end Developer,6.000
2019,Senior,CTO,50.000
2020,Junior,Back-end Developer,6.000
2021,Middle,Full Stack Developer,13.000
2022,Middle,Team / Tech Lead,14.000
2023,Middle,Full Stack Developer,10.000
2024,Middle,Mobile Application Developer,15.000
2025,Junior,Front-end Developer,6.000
2026,Middle,Full Stack Developer,8.000
2027,Senior,Team / Tech Lead,15.000
2028,Senior,Software Architect,38.000
2029,Middle,Back-end Developer,12.000
2030,Junior,Front-end Developer,5.000
2031,Senior,Software Development Manager,25.000
2032,Middle,Full Stack Developer,16.000
2033,Middle,Full Stack Developer,24.000
2034,Middle,QA / Test Automation Developer,17.000
2035,Junior,Full Stack Developer,5.000
2036,Junior,Back-end Developer,9.000
2037,Junior,Full Stack Developer,15.000
2038,Middle,Back-end Developer,7.000
2039,Middle,Full Stack Developer,12.000
2040,Junior,Full Stack Developer,12.000
2041,Middle,Back-end Developer,16.000
2042,Senior,Mobile Application Developer,28.000
2043,Junior,Back-end Developer,11.000
2044,Junior,Data Scientist,12.000
2045,Middle,Back-end Developer,13.000
2046,Middle,Full Stack Developer,11.000
2047,Middle,Software Architect,11.000
2049,Middle,Full Stack Developer,13.000
2050,Junior,Embedded Software Developer,9.000
2051,Middle,Front-end Developer,16.000
2052,Middle,Front-end Developer,12.000
2053,Senior,Software Architect,44.000
2054,Junior,QA / Test Automation Developer,5.000
2055,Senior,Project & Product Manager / PO,17.000
2056,Senior,Team / Tech Lead,23.000
2057,Junior,Full Stack Developer,15.000
2058,Senior,Front-end Developer,33.000
2059,Middle,Front-end Developer,26.000
2060,Middle,Back-end Developer,10.000
2061,Senior,Back-end Developer,28.000
2062,Senior,Full Stack Developer,11.000
2063,Middle,Full Stack Developer,15.000
2064,Senior,Front-end Developer,15.000
2065,Senior,Software Development Manager,50.000
2066,Senior,Team / Tech Lead,18.000
2068,Junior,Front-end Developer,14.000
2069,Senior,Software Development Manager,32.000
2070,Junior,Front-end Developer,6.000
2071,Middle,Back-end Developer,11.000
2072,Junior,Front-end Developer,7.000
2073,Senior,Team / Tech Lead,39.000
2075,Middle,Database Administrator,14.000
2076,Senior,Front-end Developer,20.000
2077,Junior,Back-end Developer,7.000
2078,Middle,SAP/ABAP/ERP Developer,11.000
2079,Senior,Back-end Developer,18.000
2081,Junior,DevOps Engineer,13.000
2082,Middle,Back-end Developer,18.000
2083,Middle,Full Stack Developer,6.000
2084,Senior,Front-end Developer,19.000
2085,Middle,Full Stack Developer,13.000
2086,Senior,Embedded Software Developer,26.000
2087,Senior,Software Architect,30.000
2088,Junior,Mobile Application Developer,11.000
2089,Senior,Full Stack Developer,20.000
2090,Middle,Full Stack Developer,9.000
2092,Middle,Full Stack Developer,10.000
2093,Middle,Full Stack Developer,29.000
2094,Middle,Back-end Developer,11.000
2095,Middle,Full Stack Developer,8.000
2096,Senior,Front-end Developer,16.000
2097,Junior,Back-end Developer,14.000
2098,Junior,Full Stack Developer,5.000
2099,Junior,Front-end Developer,6.000
2100,Senior,Full Stack Developer,17.000
2101,Junior,QA / Test Automation Developer,5.000
2102,Senior,Data Engineer,24.000
2103,Junior,Full Stack Developer,6.000
2104,Middle,Full Stack Developer,26.000
2105,Junior,Mobile Application Developer,5.000
2106,Middle,Game Developer,13.000
2107,Middle,Back-end Developer,24.000
2108,Middle,Project & Product Manager / PO,6.000
2109,Junior,Front-end Developer,10.000
2110,Middle,Full Stack Developer,17.000
2111,Middle,Full Stack Developer,10.000
2112,Junior,Back-end Developer,6.000
2113,Junior,Machine Learning,10.000
2114,Junior,DevOps Engineer,5.000
2115,Junior,DevOps Engineer,5.000
2116,Middle,Back-end Developer,14.000
2117,Senior,Full Stack Developer,25.000
2118,Junior,Back-end Developer,9.000
2119,Middle,Full Stack Developer,7.000
2120,Senior,Team / Tech Lead,19.000
2121,Senior,Team / Tech Lead,50.000
2122,Middle,Full Stack Developer,20.000
2123,Middle,Back-end Developer,6.000
2124,Middle,Back-end Developer,14.000
2125,Senior,Mobile Application Developer,15.000
2126,Junior,Embedded Software Developer,6.000
2127,Middle,Full Stack Developer,5.000
2128,Middle,DevOps Engineer,12.000
2129,Senior,Team / Tech Lead,45.000
2130,Junior,Back-end Developer,5.000
2131,Senior,Front-end Developer,34.000
2132,Junior,Game Developer,7.000
2133,Middle,Full Stack Developer,5.000
2135,Senior,Team / Tech Lead,26.000
2136,Senior,Full Stack Developer,13.000
2137,Middle,Mobile Application Developer,7.000
2138,Junior,Embedded Software Developer,5.000
2139,Junior,Mobile Application Developer,10.000
2140,Middle,Software Development Manager,25.000
2141,Senior,Team / Tech Lead,25.000
2142,Middle,Embedded Software Developer,13.000
2143,Senior,Front-end Developer,19.000
2144,Senior,QA / Test Automation Developer,14.000
2145,Middle,Full Stack Developer,10.000
2146,Junior,Back-end Developer,6.000
2147,Junior,Full Stack Developer,9.000
2148,Junior,Full Stack Developer,11.000
2149,Junior,Software Development Manager,6.000
2150,Senior,Software Development Manager,21.000
2151,Middle,Front-end Developer,10.000
2152,Senior,Full Stack Developer,21.000
2153,Senior,Full Stack Developer,18.000
2154,Middle,Full Stack Developer,12.000
2155,Senior,Full Stack Developer,18.000
2157,Senior,Software Development Manager,21.000
2158,Middle,Front-end Developer,16.000
2159,Junior,Front-end Developer,8.000
2160,Senior,Data Scientist,19.000
2162,Middle,Back-end Developer,12.000
2163,Middle,Back-end Developer,19.000
2164,Senior,Back-end Developer,25.000
2166,Senior,Back-end Developer,25.000
2167,Senior,Back-end Developer,21.000
2168,Middle,Business Analyst,12.000
2169,Junior,Mobile Application Developer,10.000
2170,Middle,Back-end Developer,14.000
2171,Middle,DevOps Engineer,20.000
2172,Senior,Back-end Developer,18.000
2173,Senior,Software Architect,34.000
2174,Junior,Back-end Developer,5.000
2175,Junior,Mobile Application Developer,6.000
2176,Junior,Full Stack Developer,11.000
2177,Senior,Back-end Developer,17.000
2178,Senior,Full Stack Developer,12.000
2179,Junior,Full Stack Developer,6.000
2180,Junior,Full Stack Developer,7.000
2181,Senior,Game Developer,50.000
2182,Senior,Team / Tech Lead,37.000
2183,Senior,Software Development Manager,5.000
2184,Senior,DevOps Engineer,23.000
2185,Senior,Team / Tech Lead,19.000
2186,Middle,Full Stack Developer,7.000
2187,Senior,Software Development Manager,36.000
2188,Senior,Software Development Manager,26.000
2189,Middle,Back-end Developer,6.000
2190,Middle,Back-end Developer,7.000
2191,Middle,Back-end Developer,13.000
2192,Senior,Data Scientist,17.000
2193,Middle,Mobile Application Developer,15.000
2194,Middle,Full Stack Developer,12.000
2195,Junior,Back-end Developer,6.000
2196,Senior,Front-end Developer,25.000
2198,Senior,Team / Tech Lead,50.000
2200,Senior,Team / Tech Lead,35.000
2201,Middle,Back-end Developer,9.000
2202,Senior,Full Stack Developer,29.000
2203,Senior,Back-end Developer,28.000
2204,Senior,Team / Tech Lead,40.000
2205,Junior,Full Stack Developer,7.000
2206,Middle,Mobile Application Developer,23.000
2207,Junior,Back-end Developer,6.000
2208,Senior,Full Stack Developer,11.000
2209,Junior,Back-end Developer,17.000
2210,Senior,Back-end Developer,15.000
2212,Senior,Software Architect,8.000
2213,Junior,Mobile Application Developer,5.000
2214,Junior,Back-end Developer,9.000
2215,Middle,Full Stack Developer,11.000
2216,Senior,Software Development Manager,40.000
2217,Senior,Full Stack Developer,27.000
2219,Senior,Back-end Developer,20.000
2220,Middle,Game Developer,19.000
2221,Junior,IT Specialist,10.000
2224,Junior,Game Developer,8.000
2225,Middle,Full Stack Developer,15.000
2226,Middle,Back-end Developer,25.000
2227,Senior,Full Stack Developer,25.000
2228,Middle,Embedded Software Developer,7.000
2229,Middle,Game Developer,11.000
2230,Senior,Software Development Manager,30.000
2231,Senior,Full Stack Developer,21.000
2232,Middle,Game Developer,13.000
2234,Junior,Back-end Developer,10.000
2235,Junior,Embedded Software Developer,8.000
2236,Middle,Back-end Developer,5.000
2237,Junior,Mobile Application Developer,13.000
2238,Junior,Mobile Application Developer,11.000
2239,Middle,Game Developer,18.000
2240,Senior,Team / Tech Lead,50.000
2241,Junior,Back-end Developer,15.000
2242,Senior,Back-end Developer,22.000
2243,Senior,Team / Tech Lead,22.000
2245,Junior,Mobile Application Developer,12.000
2246,Senior,Back-end Developer,19.000
2247,Senior,Team / Tech Lead,30.000
2248,Middle,Full Stack Developer,17.000
2249,Middle,QA / Test Automation Developer,7.000
2250,Senior,Back-end Developer,15.000
2251,Middle,Embedded Software Developer,11.000
2252,Junior,Back-end Developer,8.000
2253,Senior,Software Development Manager,28.000
2254,Senior,Full Stack Developer,12.000
2255,Junior,Mobile Application Developer,10.000
2256,Middle,Front-end Developer,16.000
2258,Senior,CTO,50.000
2259,Senior,Software Development Manager,12.000
2260,Senior,Team / Tech Lead,20.000
2261,Middle,Full Stack Developer,12.000
2262,Middle,Front-end Developer,9.000
2263,Middle,Full Stack Developer,12.000
2264,Senior,Back-end Developer,39.000
2265,Senior,Mobile Application Developer,9.000
2266,Middle,Back-end Developer,10.000
2267,Junior,Back-end Developer,9.000
2268,Senior,Team / Tech Lead,19.000
2269,Senior,Full Stack Developer,16.000
2270,Junior,QA / Test Automation Developer,8.000
2271,Junior,Front-end Developer,5.000
2272,Middle,Front-end Developer,14.000
2273,Middle,Data Scientist,23.000
2274,Middle,Game Developer,7.000
2275,Middle,QA / Test Automation Developer,21.000
2276,Junior,Full Stack Developer,11.000
2277,Junior,Back-end Developer,5.000
2278,Senior,Team / Tech Lead,40.000
2279,Senior,Full Stack Developer,6.000
2280,Senior,Mobile Application Developer,23.000
2281,Senior,Mobile Application Developer,12.000
2282,Senior,Team / Tech Lead,29.000
2283,Middle,Front-end Developer,12.000
2284,Middle,Full Stack Developer,18.000
2285,Senior,Full Stack Developer,19.000
2287,Middle,Back-end Developer,10.000
2288,Middle,Back-end Developer,20.000
2289,Senior,Back-end Developer,20.000
2290,Middle,QA / Test Automation Developer,10.000
2291,Senior,CTO,20.000
2292,Senior,Full Stack Developer,30.000
2293,Senior,Software Development Manager,35.000
2295,Senior,Team / Tech Lead,25.000
2297,Senior,Software Development Manager,17.000
2298,Junior,QA / Test Automation Developer,5.000
2299,Middle,Full Stack Developer,14.000
2300,Senior,CTO,39.000
2301,Junior,Mobile Application Developer,7.000
2302,Senior,DevOps Engineer,20.000
2303,Junior,Front-end Developer,7.000
2304,Middle,Back-end Developer,7.000
2305,Junior,Game Developer,6.000
2306,Senior,Full Stack Developer,28.000
2307,Junior,Front-end Developer,5.000
2308,Junior,QA / Test Automation Developer,6.000
2309,Middle,Back-end Developer,12.000
2310,Junior,Full Stack Developer,10.000
2312,Junior,Data Engineer,12.000
2314,Junior,Full Stack Developer,11.000
2315,Senior,DevOps Engineer,17.000
2316,Senior,Game Developer,47.000
2317,Middle,Full Stack Developer,5.000
2318,Middle,Full Stack Developer,7.000
2319,Middle,Data Scientist,5.000
2320,Junior,Back-end Developer,6.000
2321,Senior,Software Development Manager,33.000
2323,Senior,Full Stack Developer,16.000
2324,Junior,Data Analyst,12.000
2325,Middle,Front-end Developer,17.000
2326,Junior,Full Stack Developer,6.000
2328,Junior,Data Scientist,5.000
2329,Senior,Back-end Developer,19.000
2330,Senior,Data Scientist,30.000
2331,Middle,Back-end Developer,27.000
2332,Senior,Software Development Manager,29.000
2333,Middle,Full Stack Developer,13.000
2334,Junior,Back-end Developer,6.000
2335,Middle,Back-end Developer,17.000
2336,Middle,Full Stack Developer,22.000
2337,Junior,Front-end Developer,14.000
2338,Senior,Full Stack Developer,7.000
2339,Middle,Full Stack Developer,20.000
2340,Junior,Back-end Developer,11.000
2341,Senior,Back-end Developer,18.000
2343,Senior,CTO,16.000
2344,Middle,Full Stack Developer,15.000
2345,Senior,Back-end Developer,28.000
2346,Junior,Data Scientist,10.000
2347,Middle,Front-end Developer,10.000
2348,Junior,Front-end Developer,9.000
2349,Middle,Full Stack Developer,19.000
2350,Senior,Back-end Developer,6.000
2351,Junior,Front-end Developer,8.000
2352,Senior,Full Stack Developer,25.000
2353,Junior,Full Stack Developer,5.000
2354,Junior,Back-end Developer,7.000
2355,Senior,Team / Tech Lead,30.000
2356,Junior,Mobile Application Developer,43.000
2359,Senior,Back-end Developer,14.000
2362,Senior,Back-end Developer,12.000
2363,Middle,Front-end Developer,21.000
2364,Senior,Game Developer,36.000
2365,Senior,Full Stack Developer,24.000
2366,Middle,Back-end Developer,22.000
2368,Middle,Full Stack Developer,14.000
2369,Middle,Full Stack Developer,10.000
2370,Junior,Front-end Developer,5.000
2371,Middle,Back-end Developer,13.000
2372,Senior,Full Stack Developer,20.000
2373,Senior,Embedded Software Developer,22.000
2375,Senior,CTO,45.000
2377,Senior,Software Architect,19.000
2378,Senior,Software Architect,50.000
2379,Senior,Mobile Application Developer,29.000
2380,Middle,Back-end Developer,22.000
2381,Senior,CTO,19.000
2382,Junior,Mobile Application Developer,12.000
2383,Senior,Full Stack Developer,26.000
2384,Senior,Mobile Application Developer,25.000
2385,Junior,Embedded Software Developer,7.000
2386,Senior,Team / Tech Lead,20.000
2387,Junior,Full Stack Developer,8.000
2388,Junior,Full Stack Developer,7.000
2389,Junior,Mobile Application Developer,5.000
2390,Junior,Support Engineer,12.000
2391,Senior,Software Architect,41.000
2392,Junior,Full Stack Developer,8.000
2393,Middle,Front-end Developer,7.000
2394,Junior,Back-end Developer,5.000
2395,Middle,Embedded Software Developer,15.000
2396,Middle,Game Developer,26.000
2397,Senior,Game Developer,10.000
2398,Junior,Back-end Developer,5.000
2399,Senior,Full Stack Developer,10.000
2400,Middle,Full Stack Developer,10.000
2401,Junior,Back-end Developer,9.000
2402,Senior,Software Architect,50.000
2403,Middle,Back-end Developer,17.000
2404,Middle,Back-end Developer,19.000
2405,Middle,Full Stack Developer,14.000
2406,Junior,Back-end Developer,7.000
2407,Senior,Full Stack Developer,21.000
2408,Middle,Team / Tech Lead,18.000
2409,Junior,Back-end Developer,14.000
2410,Middle,Back-end Developer,11.000
2411,Senior,Embedded Software Developer,19.000
2413,Middle,Back-end Developer,6.000
2414,Middle,Front-end Developer,19.000
2415,Middle,Front-end Developer,9.000
2416,Middle,Mobile Application Developer,9.000
2417,Middle,Full Stack Developer,12.000
2418,Senior,Full Stack Developer,12.000
2419,Junior,Embedded Software Developer,5.000
2420,Junior,Full Stack Developer,5.000
2421,Junior,Full Stack Developer,10.000
2422,Senior,Back-end Developer,20.000
2423,Senior,Software Architect,40.000
2424,Junior,Full Stack Developer,5.000
2426,Junior,Mobile Application Developer,14.000
2427,Senior,Full Stack Developer,25.000
